[ T-Track ]
    title = [t-track] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
  0.000E+00  5.048E+02  7.795E+03  1.035E+03  2.880E+04  2.882E+03  1.089E+04  1.136E+04  5.090E+03  1.179E+04
  1.578E+04  7.725E+03  9.153E+03  1.025E+04  2.140E+04  1.168E+04  7.272E+03  1.004E+04  6.350E+03  1.202E+04
  2.113E+04  1.559E+04  7.636E+01  1.290E+04  8.016E+03  1.809E+03  2.922E+03  1.772E+04  1.125E+04  1.185E+04
  5.363E+03  2.446E+04  1.435E+04  8.669E+02  1.143E+04  5.305E+03  4.592E+03  1.688E+04  8.254E+03  1.047E+04
  2.489E+04  1.074E+04  9.032E+03  5.307E+03  1.255E+04  2.456E+02  2.073E+04  2.609E+04  2.537E+04  2.724E+04
  1.923E+04  1.408E+04  9.959E+03  5.334E+03  2.692E+03  1.014E+04  9.573E+03  2.156E+03  5.905E+03  2.644E+04
  2.604E+04  4.682E+04  2.884E+04  9.780E+03  4.514E+04  3.459E+03  1.964E+04  2.870E+04  1.559E+04  7.451E+03
  2.443E+04  2.561E+04  2.869E+04  2.753E+04  2.424E+04  5.285E+03  8.279E+03  5.996E+03  4.242E+04  1.413E+04
  1.568E+04  2.786E+04  8.060E+03  2.196E+04  1.535E+04  3.017E+04  1.685E+04  1.517E+04  2.379E+04  2.456E+04
  1.922E+04  2.415E+04  8.575E+03  5.649E+04  3.753E+04  3.414E+04  9.799E+03  3.225E+04  1.998E+04  3.751E+04
  2.216E+04  2.921E+04  2.694E+04  3.181E+04  2.931E+04  2.994E+04  2.355E+04  3.899E+04  1.362E+04  3.571E+04
  2.762E+04  1.618E+04  1.024E+04  2.224E+04  1.629E+04  4.820E+03  5.340E+03  1.884E+04  2.980E+04  2.453E+04
  2.135E+04  2.648E+04  8.381E+03  7.531E+03  5.575E+03  2.879E+03  1.047E+04  1.427E+04  1.841E+03  1.557E+04
  5.198E+03  9.150E+03  3.083E+04  8.472E+03  8.828E+03  1.979E+04  1.384E+04  0.000E+00  4.302E+03  0.000E+00
  9.438E+03  1.763E+04  1.920E+04  1.038E+04  1.790E+04  1.836E+04  2.311E+04  2.843E+04  2.309E+04  9.436E+03
  9.436E+03  6.068E+03  5.286E+03  6.060E+03  0.000E+00  0.000E+00  0.000E+00  1.260E+03  7.251E+03  1.389E+04
  9.545E+03  9.545E+03  2.832E+03  0.000E+00  9.609E+03  1.285E+04  2.362E+04  1.352E+04  5.417E+03  0.000E+00
  4.675E+03  7.437E+03  8.744E+03  6.704E+03  1.278E+04  2.690E+04  1.815E+04  1.702E+04  0.000E+00  1.218E+04
  2.494E+03  2.106E+04  9.303E+03  5.238E+03  1.017E+04  1.401E+04  3.469E+04  3.601E+04  2.897E+04  1.892E+04
  3.382E+04  2.654E+04  4.756E+03  9.307E+03  1.696E+04  1.859E+04  1.812E+04  4.701E+03  2.444E+04  3.214E+04
  3.083E+04  3.856E+04  2.962E+04  5.034E+04  3.718E+04  3.573E+04  1.635E+04  7.697E+03  1.514E+04  2.646E+04
  3.046E+04  1.718E+04  2.366E+04  1.596E+04  3.484E+04  5.241E+04  5.363E+04  1.033E+04  4.831E+04  2.762E+04
  1.778E+04  2.242E+04  3.413E+04  7.187E+03  2.107E+04  4.393E+04  2.723E+04  4.335E+03  2.646E+04  2.269E+04
  2.920E+04  2.853E+04  4.306E+04  5.589E+04  4.694E+04  2.277E+04  4.891E+04  2.498E+04  4.968E+04  3.357E+04
  1.976E+04  3.703E+04  2.004E+04  2.113E+04  4.292E+04  5.138E+04  2.271E+04  4.126E+04  3.271E+04  3.648E+04
  4.706E+04  1.401E+04  3.384E+04  2.570E+04  3.875E+04  4.548E+04  6.544E+04  6.420E+04  4.739E+04  3.798E+04
  6.192E+04  3.806E+04  2.880E+04  3.756E+04  5.284E+04  5.717E+04  3.469E+04  4.329E+04  5.421E+04  8.237E+04
  5.463E+04  5.083E+04  2.614E+04  4.227E+04  4.844E+04  4.794E+04  2.503E+04  2.231E+04  2.511E+04  4.596E+04
  5.461E+04  2.284E+04  2.835E+04  4.327E+04  2.166E+04  3.598E+04  3.053E+04  5.414E+04  3.263E+04  2.206E+04
  6.581E+04  9.551E+03  1.180E+04  2.067E+04  9.669E+03  3.770E+04  1.762E+04  3.674E+04  4.991E+04  1.921E+04
  5.711E+04  2.796E+04  5.986E+04  2.468E+04  2.876E+04  5.057E+04  4.913E+04  3.093E+04  5.751E+04  3.423E+04
  4.823E+04  1.424E+04  5.624E+04  8.715E+04  5.705E+04  7.253E+04  1.354E+05  5.956E+04  5.811E+04  6.821E+04
  6.438E+04  4.791E+04  4.432E+04  8.178E+04  4.760E+04  7.660E+04  8.868E+04  1.155E+05  6.215E+04  7.926E+04
  4.362E+04  4.683E+04  7.338E+04  9.206E+04  3.654E+04  5.769E+04  5.853E+04  8.305E+04  6.035E+04  1.157E+05
  3.511E+04  7.817E+04  6.912E+03  3.022E+04  2.383E+04  7.913E+04  6.131E+04  8.632E+04  4.885E+04  5.785E+04
  2.552E+04  3.083E+04  5.441E+04  4.986E+04  1.543E+04  1.460E+04  3.741E+04  1.927E+04  5.772E+04  2.805E+04
  3.333E+04  1.257E+04  8.082E+03  6.451E+04  4.232E+04  1.075E+04  4.246E+04  2.283E+04  3.315E+04  1.100E+04
  2.549E+04  2.563E+04  2.202E+04  1.347E+04  2.200E+03  6.124E+03  1.863E+04  6.556E+03  1.518E+04  1.464E+04
  6.781E+03  1.678E+04  1.755E+03  1.281E+04  3.435E+04  5.057E+04  6.497E+04  3.267E+04  3.511E+04  3.376E+04
  1.253E+03  3.761E+03  1.193E+04  2.486E+04  2.908E+04  1.943E+04  3.117E+04  6.905E+03  3.532E+03  9.896E+03
  1.622E+03  4.209E+03  4.147E+03  2.456E+04  2.098E+04  1.552E+04  3.193E+04  2.015E+04  1.388E+04  2.102E+04
  6.973E+03  7.813E+03  1.796E+04  3.353E+04  2.684E+04  1.511E+04  1.580E+04  6.546E+03  8.089E+03  0.000E+00
  2.232E+04  2.404E+04  2.323E+04  2.469E+04  2.674E+04  8.544E+03  5.622E+03  7.605E+03  1.206E+03  1.215E+04
  3.188E+04  1.133E+04  1.034E+04  8.461E+03  9.529E+03  2.546E+04  6.424E+03  1.389E+04  0.000E+00  5.653E+03
  6.039E+03  1.372E+04  1.648E+04  7.546E+03  1.858E+04  1.874E+04  1.107E+04  1.800E+04  1.936E+03  2.149E+04
  7.335E+03  2.018E+04  2.823E+04  1.641E+04  1.714E+04  1.589E+03  0.000E+00  1.985E+04  1.486E+04  4.670E+03
  5.298E+03  5.972E+03  9.058E+03  4.516E+03  1.939E+04  8.948E+03  1.929E+04  1.132E+04  0.000E+00  1.417E+02
  6.005E+03  0.000E+00  2.000E+02  4.683E+03  1.122E+04  1.451E+04  9.678E+03  1.544E+03  1.475E+04  1.357E+04
  6.477E+03  0.000E+00  8.392E+03  5.189E+03  0.000E+00  0.000E+00  1.359E+04  2.453E+04  1.962E+04  8.294E+02
  2.603E+01  5.608E+03  1.177E+04  1.435E+03  4.894E+03  2.791E+03  1.521E+04  2.072E+04  1.531E+04  1.156E+04
  8.937E+03  0.000E+00  8.591E+03  4.053E+03  1.972E+04  8.497E+03  1.061E+04  8.368E+03  1.841E+04  1.175E+04
  1.000E+04  1.728E+04  3.995E+03  5.000E+03  9.517E+03  1.244E+04  9.119E+03  8.792E+03  1.936E+03  0.000E+00
  1.032E+04  1.848E+03  5.669E+03  1.181E+04  2.726E+04  1.271E+04  1.317E+04  2.150E+04  1.276E+04  0.000E+00
  1.037E+04  1.462E+04  2.082E+04  8.095E+03  1.424E+04  1.157E+04  1.070E+04  1.825E+04  3.346E+04  1.379E+04
  1.103E+04  1.209E+04  0.000E+00  1.471E+04  2.326E+04  1.927E+04  1.724E+04  1.604E+04  3.182E+03  0.000E+00
  8.841E+03  4.713E+03  1.147E+04  1.880E+04  1.451E+04  1.476E+04  6.649E+03  5.651E+03  1.005E+04  8.177E+03
  1.084E+04  5.243E+03  2.405E+04  1.428E+04  2.223E+04  2.116E+04  2.991E+04  3.917E+04  3.110E+04  5.028E+04
  2.459E+04  8.781E+03  1.828E+04  1.868E+04  2.569E+04  1.029E+04  2.203E+04  1.141E+04  2.102E+04  2.156E+04
  3.499E+04  1.268E+04  2.110E+04  1.985E+04  1.313E+04  2.634E+04  3.664E+04  2.738E+04  4.373E+04  1.320E+04
  2.718E+04  1.351E+04  2.047E+03  4.635E+04  8.899E+03  2.561E+04  1.592E+04  2.670E+04  4.943E+04  2.554E+04
  3.277E+04  2.070E+04  2.871E+04  3.141E+04  2.831E+04  4.268E+04  3.433E+04  2.760E+04  1.178E+04  3.205E+04
  3.738E+03  1.651E+04  2.105E+04  6.856E+03  7.030E+03  6.504E+03  2.116E+04  1.169E+04  3.181E+04  1.126E+04
  3.106E+04  6.755E+02  1.667E+04  1.003E+04  8.253E+03  8.175E+02  2.177E+03  1.028E+04  5.100E+03  2.514E+03
  1.110E+04  1.917E+04  7.047E+03  1.282E+04  2.759E+04  4.677E+03  1.683E+04  0.000E+00  0.000E+00  3.959E+03
  9.856E+03  0.000E+00  0.000E+00  8.818E+03  1.273E+04  1.657E+04  1.912E+04  1.879E+04  1.556E+04  2.593E+04
  1.899E+04  1.884E+04  1.890E+04  1.428E+04  1.927E+04  1.897E+04  1.735E+04  1.313E+04  2.760E+03  0.000E+00
  0.000E+00  0.000E+00  7.009E+03  1.108E+04  9.545E+03  4.619E+03  6.682E+03  1.117E+04  4.847E+03  7.987E+03
  8.798E+02  2.952E+03  1.709E+04  6.704E+03  0.000E+00  1.472E+04  2.634E+04  1.484E+04  3.177E+03  5.258E+03
  8.768E+03  8.998E+02  2.152E+04  1.382E+04  8.251E+03  1.147E+04  1.040E+04  1.594E+04  2.897E+04  2.869E+04
  3.411E+04  2.971E+04  1.703E+04  5.485E+03  1.508E+04  2.142E+04  2.194E+04  2.408E+04  2.524E+04  2.424E+04
  2.859E+04  2.918E+04  3.626E+04  5.024E+04  2.817E+04  2.536E+04  1.182E+04  1.408E+04  3.253E+04  2.871E+04
  3.411E+04  3.229E+04  2.937E+04  1.464E+04  1.885E+04  3.875E+04  5.018E+04  6.173E+04  5.364E+04  2.663E+04
  2.491E+04  2.479E+04  2.547E+04  3.850E+03  3.734E+04  1.631E+04  2.732E+04  3.021E+04  2.604E+04  3.366E+04
  2.467E+04  1.445E+04  2.053E+04  2.551E+04  5.991E+04  6.964E+04  3.472E+04  7.529E+04  4.137E+04  2.142E+04
  3.059E+04  2.110E+04  4.190E+04  2.469E+04  2.708E+04  3.481E+04  2.644E+04  1.903E+04  3.983E+04  6.700E+04
  4.689E+04  5.580E+03  1.906E+04  3.040E+04  3.981E+04  3.206E+04  6.888E+04  1.862E+04  5.280E+04  1.259E+04
  7.782E+04  5.597E+04  4.544E+04  3.334E+04  7.534E+04  4.477E+04  3.852E+04  3.166E+04  3.764E+04  5.362E+04
  7.502E+04  5.982E+04  3.897E+04  4.728E+04  4.117E+04  3.101E+04  3.433E+04  3.187E+04  3.900E+04  3.391E+04
  2.677E+04  5.529E+04  4.749E+04  3.905E+04  2.067E+04  3.189E+04  2.691E+04  2.068E+04  4.038E+04  3.505E+04
  2.208E+04  2.523E+04  1.291E+04  0.000E+00  3.136E+04  1.097E+04  3.803E+04  4.120E+04  2.731E+04  5.283E+04
  6.033E+04  4.578E+04  3.572E+04  4.157E+04  3.064E+04  6.999E+04  5.625E+04  2.457E+04  5.910E+04  5.525E+04
  4.057E+04  3.471E+04  3.873E+04  8.397E+04  7.266E+04  1.139E+05  1.109E+05  6.564E+04  5.078E+04  6.232E+04
  6.427E+04  4.486E+04  4.548E+04  8.283E+04  7.109E+04  8.806E+04  1.028E+05  1.100E+05  5.977E+04  6.841E+04
  4.385E+04  6.243E+04  6.979E+04  8.381E+04  7.717E+04  5.646E+04  5.808E+04  8.587E+04  4.534E+04  9.890E+04
  5.612E+04  4.336E+04  2.672E+04  4.349E+04  4.912E+04  6.734E+04  8.163E+04  5.175E+04  5.358E+04  5.067E+04
  4.345E+04  5.265E+04  8.154E+04  4.620E+04  2.135E+04  4.103E+04  2.269E+04  3.259E+04  4.255E+04  3.955E+04
  1.858E+04  2.541E+04  5.025E+04  5.715E+04  1.820E+04  3.945E+04  1.529E+04  3.376E+04  4.027E+04  2.962E+04
  1.367E+04  2.285E+04  1.878E+04  1.432E+04  1.213E+04  1.562E+04  2.227E+04  5.477E+03  7.846E+03  1.475E+04
  2.162E+04  1.874E+04  2.603E+04  4.608E+04  4.669E+04  2.335E+04  3.985E+04  5.145E+04  1.711E+04  2.126E+04
  1.840E+04  2.476E+04  3.134E+04  9.815E+03  1.251E+04  1.465E+04  1.193E+04  9.913E+03  9.939E+03  8.435E+03
  0.000E+00  1.796E+04  2.108E+04  1.531E+04  3.283E+04  2.196E+04  3.077E+04  2.176E+04  9.878E+03  7.350E+03
  2.215E+04  2.371E+04  1.779E+04  3.624E+04  2.238E+04  0.000E+00  0.000E+00  4.289E+03  1.060E+04  1.886E+04
  8.453E+03  1.680E+04  1.289E+04  1.953E+04  2.370E+04  4.514E+03  5.041E+03  2.768E+03  1.424E+04  1.906E+04
  2.435E+04  1.746E+04  2.159E+04  1.265E+04  2.535E+03  1.400E+04  6.996E+03  0.000E+00  0.000E+00  2.938E+03
  2.883E+02  8.164E+03  2.026E+04  1.003E+04  0.000E+00  8.250E+03  8.975E+03  2.601E+04  1.153E+04  2.057E+04
  1.253E+04  2.703E+04  5.585E+03  1.728E+04  1.337E+04  1.412E+04  3.772E+03  1.150E+04  5.960E+03  7.626E+03
  4.882E+03  1.382E+04  1.242E+04  1.079E+04  1.645E+04  2.971E+04  1.342E+04  9.379E+03  2.530E+03  8.528E+03
  1.643E+04  4.033E+03  2.503E+03  9.678E+03  9.198E+03  1.657E+04  8.758E+03  1.103E+04  3.607E+03  1.057E+04
  6.993E+03  2.072E+02  2.779E+03  2.340E+03  0.000E+00  1.913E+04  8.444E+03  2.438E+04  2.343E+04  1.215E+04
  1.673E+03  1.171E+04  7.764E+03  0.000E+00  4.173E+03  8.351E+03  8.521E+03  2.392E+04  9.066E+03  9.967E+03
  1.773E+04  3.599E+03  7.459E+03  7.851E+03  1.708E+04  4.119E+03  8.935E+03  2.074E+04  1.123E+04  9.976E+03
  2.123E+04  1.458E+04  8.746E+03  7.928E+03  1.074E+04  1.062E+04  1.096E+04  5.395E+03  1.650E+04  0.000E+00
  8.646E+03  1.017E+04  0.000E+00  1.052E+04  3.024E+04  1.057E+04  1.599E+04  1.598E+04  6.230E+03  3.776E+03
  3.571E+03  1.370E+04  3.207E+03  1.384E+04  1.742E+04  3.160E+04  2.304E+04  2.451E+04  2.362E+04  1.933E+04
  2.460E+04  2.132E+04  2.334E+04  2.125E+04  1.796E+04  1.419E+04  2.741E+04  1.178E+04  3.278E+04  3.425E+03
  4.257E+03  5.817E+03  1.334E+04  1.820E+04  1.710E+04  6.833E+03  2.116E+04  6.613E+03  0.000E+00  1.044E+04
  2.423E+04  2.268E+04  1.919E+04  2.501E+04  3.017E+04  1.874E+04  2.432E+04  2.837E+04  3.910E+04  2.555E+04
  1.484E+04  7.314E+03  1.875E+04  2.674E+04  8.314E+03  1.903E+04  2.513E+04  1.097E+04  3.367E+04  2.966E+04
  1.969E+04  1.705E+04  2.114E+04  3.368E+04  1.692E+04  3.446E+04  3.764E+04  1.925E+04  2.988E+04  2.198E+04
  4.476E+04  3.781E+04  3.524E+04  2.297E+04  1.161E+04  3.449E+04  2.114E+04  3.471E+04  3.363E+04  2.168E+04
  5.138E+04  3.233E+04  2.063E+04  2.471E+04  4.263E+04  4.449E+04  1.754E+04  1.716E+04  1.779E+04  9.472E+03
  1.432E+04  1.977E+04  1.694E+04  6.291E+03  1.671E+03  1.617E+04  2.016E+04  5.665E+04  1.949E+04  5.076E+04
  2.038E+04  2.166E+04  1.386E+04  7.433E+03  2.594E+04  9.978E+03  1.423E+04  1.813E+04  1.594E+04  1.749E+04
  7.409E+03  2.656E+02  2.126E+04  3.910E+03  7.510E+03  4.067E+03  2.096E+04  7.944E+03  0.000E+00  0.000E+00
  4.057E+02  1.026E+04  2.178E+03  0.000E+00  0.000E+00  9.449E+03  9.438E+03  3.300E+02  1.467E+04  1.219E+04
  1.076E+04  1.716E+04  3.189E+04  2.808E+04  2.609E+04  1.710E+04  1.736E+04  1.570E+04  9.436E+03  1.534E+04
  5.988E+03  0.000E+00  4.359E+03  1.901E+04  2.688E+03  7.350E+03  1.674E+04  3.856E+04  1.558E+03  2.277E+03
  1.410E+04  1.324E+04  8.706E+03  1.088E+04  6.706E+03  0.000E+00  1.814E+04  2.796E+04  2.296E+04  8.265E+03
  8.973E+02  9.414E+03  2.236E+03  3.251E+04  1.841E+04  5.640E+03  1.204E+04  1.418E+04  2.785E+04  8.265E+03
  3.635E+04  2.811E+04  1.551E+04  1.513E+04  1.560E+04  2.550E+04  3.799E+04  2.667E+04  4.052E+04  2.315E+04
  1.526E+04  2.366E+04  5.189E+04  3.905E+04  1.786E+04  1.839E+04  3.007E+04  1.416E+04  1.242E+04  1.757E+04
  3.095E+04  1.738E+04  1.401E+04  2.392E+04  2.905E+04  3.154E+04  2.837E+04  5.627E+04  7.082E+04  3.971E+04
  3.373E+04  3.448E+04  3.284E+04  2.638E+04  3.037E+04  2.417E+04  1.562E+04  5.644E+04  3.245E+04  3.097E+04
  1.130E+04  3.962E+04  1.535E+04  2.511E+04  4.164E+04  2.075E+04  7.465E+04  7.264E+04  3.550E+04  2.849E+04
  2.678E+04  3.505E+04  3.087E+04  2.158E+04  9.408E+03  3.041E+04  3.530E+04  2.636E+04  5.444E+04  2.217E+04
  3.401E+04  3.925E+04  2.608E+04  2.052E+04  5.020E+04  2.502E+04  5.681E+04  3.983E+04  4.192E+04  3.382E+04
  5.031E+04  3.623E+04  4.435E+04  3.817E+04  7.208E+04  5.160E+04  3.714E+04  3.190E+04  8.438E+04  1.681E+04
  5.185E+04  8.148E+04  7.390E+04  6.740E+04  3.464E+04  1.862E+04  3.374E+04  3.970E+04  5.506E+04  3.829E+04
  2.295E+04  1.720E+04  5.120E+04  7.060E+04  2.114E+04  1.299E+04  2.613E+04  2.675E+04  2.685E+04  4.046E+04
  2.396E+04  7.152E+03  1.854E+04  5.676E+03  1.822E+04  4.495E+04  3.696E+04  3.509E+04  5.252E+04  3.658E+04
  4.588E+04  5.350E+04  2.700E+04  5.765E+04  5.980E+04  6.258E+04  5.770E+04  3.838E+04  5.181E+04  7.272E+04
  5.385E+04  4.469E+04  2.958E+04  8.080E+04  9.967E+04  7.943E+04  8.839E+04  7.532E+04  5.454E+04  5.699E+04
  7.933E+04  6.325E+04  6.498E+04  6.684E+04  1.165E+05  5.722E+04  9.842E+04  9.287E+04  7.187E+04  6.846E+04
  5.290E+04  7.574E+04  7.225E+04  7.753E+04  6.477E+04  5.506E+04  8.688E+04  1.008E+05  8.306E+04  6.859E+04
  5.140E+04  4.044E+04  2.616E+04  3.444E+04  7.124E+04  3.092E+04  8.860E+04  6.064E+04  5.486E+04  4.886E+04
  6.584E+04  6.893E+04  4.993E+04  2.276E+04  2.827E+04  1.892E+04  5.181E+04  3.648E+04  5.452E+04  2.355E+04
  1.471E+04  5.514E+04  3.775E+04  3.358E+04  2.964E+04  3.041E+04  2.840E+04  4.333E+04  4.098E+04  2.554E+04
  2.222E+04  2.266E+04  1.919E+04  1.730E+04  8.233E+03  2.514E+04  2.293E+04  3.339E+04  2.453E+04  2.226E+04
  2.213E+04  1.559E+04  1.842E+04  2.350E+04  2.469E+04  2.767E+04  1.838E+04  2.172E+04  1.996E+04  2.820E+04
  4.344E+04  1.521E+04  1.658E+04  1.336E+04  1.013E+04  4.771E+03  1.234E+04  1.022E+04  0.000E+00  1.860E+04
  1.028E+04  1.254E+04  2.150E+04  2.788E+04  2.228E+04  5.020E+03  1.943E+04  1.137E+04  4.584E+04  4.482E+04
  1.733E+04  1.220E+04  1.533E+04  1.914E+04  1.661E+04  2.087E+03  0.000E+00  0.000E+00  2.212E+03  1.035E+04
  4.147E+03  1.464E+04  1.481E+04  2.383E+04  1.672E+04  1.377E+04  1.128E+04  1.945E+04  2.587E+04  2.215E+04
  3.561E+04  8.775E+03  5.184E+03  0.000E+00  1.518E+04  3.176E+03  1.031E+02  1.012E+04  2.243E+01  0.000E+00
  1.391E+04  7.673E+03  8.365E+03  3.111E+04  3.004E+04  1.022E+04  2.083E+04  2.035E+04  2.604E+04  1.842E+04
  8.724E+03  1.845E+03  1.464E+04  3.600E+04  1.087E+04  1.361E+04  6.536E+03  9.580E+03  1.219E+04  0.000E+00
  4.664E+03  0.000E+00  1.402E+04  1.237E+04  1.014E+04  8.359E+03  1.701E+04  1.092E+04  9.455E+03  1.487E+03
  7.845E+03  3.933E+03  4.690E+03  3.948E+03  3.224E+03  1.240E+03  8.066E+03  1.890E+04  8.422E+03  0.000E+00
  1.045E+03  5.181E+03  2.518E+03  1.249E+04  1.654E+04  1.307E+04  1.446E+04  1.517E+04  5.487E+03  7.939E+03
  2.072E+03  1.590E+04  2.316E+04  2.162E+04  8.417E+03  3.008E+03  7.986E+03  1.680E+04  1.012E+04  1.856E+04
  1.429E+04  1.784E+04  2.537E+04  3.108E+03  5.405E+03  1.957E+04  9.742E+03  7.459E+03  0.000E+00  1.326E+04
  9.431E+03  2.125E+04  1.313E+04  4.869E+03  1.455E+04  8.040E+03  0.000E+00  7.838E+02  1.308E+04  1.548E+04
  1.730E+03  2.287E+03  0.000E+00  3.486E+03  1.131E+04  9.460E+03  1.224E+04  8.563E+03  5.010E+03  9.144E+03
  4.810E+03  2.334E+04  2.248E+04  3.102E+04  2.954E+04  3.295E+04  1.054E+04  2.119E+04  5.399E+03  8.312E+03
  5.897E+03  2.134E+04  3.083E+04  8.635E+03  1.028E+04  1.360E+04  6.401E+03  8.320E+03  4.248E+03  1.979E+04
  1.402E+02  6.666E+03  1.666E+04  1.552E+04  8.398E+03  2.972E+03  2.716E+04  1.278E+04  9.447E+03  3.224E+04
  2.717E+04  1.208E+04  5.386E+04  1.385E+04  1.070E+04  1.839E+04  1.982E+04  2.864E+04  2.409E+04  8.082E+03
  1.304E+04  1.661E+04  2.108E+04  2.191E+04  1.038E+04  2.353E+04  1.485E+04  0.000E+00  1.225E+04  2.061E+04
  6.693E+03  2.225E+04  4.024E+04  2.751E+04  1.007E+04  4.134E+04  3.764E+04  1.684E+04  2.211E+04  3.153E+04
  4.716E+04  4.600E+04  1.224E+04  1.632E+04  3.062E+04  2.912E+04  1.990E+04  2.273E+04  3.745E+04  1.860E+04
  2.199E+04  4.161E+04  2.895E+04  3.022E+04  3.025E+04  4.841E+04  2.501E+04  4.876E+04  1.943E+04  2.637E+04
  2.799E+04  3.041E+04  1.397E+04  9.437E+03  2.059E+04  2.445E+04  1.122E+04  1.355E+04  5.071E+04  4.368E+04
  1.092E+04  6.839E+03  0.000E+00  5.932E+03  1.032E+04  6.637E+03  1.154E+04  3.335E+04  3.537E+04  7.384E+03
  2.015E+04  1.660E+04  1.636E+04  2.163E+04  7.371E+03  8.762E+03  0.000E+00  0.000E+00  7.673E+03  0.000E+00
  0.000E+00  0.000E+00  8.083E+03  4.762E+03  0.000E+00  0.000E+00  3.209E+02  9.759E+03  8.807E+03  0.000E+00
  8.464E+03  9.686E+03  5.523E+03  3.398E+03  6.046E+03  1.731E+04  2.478E+04  2.071E+04  1.531E+04  1.096E+04
  9.462E+03  2.954E+03  0.000E+00  0.000E+00  7.969E+03  6.909E+03  1.010E+04  1.879E+04  4.192E+04  2.126E+04
  9.545E+03  1.768E+04  1.136E+04  0.000E+00  2.176E+04  2.216E+03  1.701E+04  1.535E+04  5.144E+04  2.009E+04
  4.442E+03  1.201E+03  8.213E+03  2.044E+04  3.768E+04  1.542E+04  1.069E+04  6.615E+03  3.595E+04  9.144E+03
  5.481E+03  2.464E+04  3.099E+04  2.188E+04  8.257E+03  1.544E+04  1.316E+04  3.246E+04  5.269E+04  3.175E+04
  1.944E+04  2.787E+04  4.939E+04  3.797E+04  2.727E+04  1.339E+04  2.699E+04  2.030E+04  3.226E+04  3.943E+04
  4.157E+04  3.139E+04  1.121E+04  2.317E+04  1.063E+04  3.044E+04  3.103E+04  3.366E+04  4.935E+04  4.277E+04
  1.669E+04  4.211E+04  3.335E+04  2.182E+04  3.550E+04  1.772E+04  3.691E+04  4.767E+04  4.325E+04  1.434E+04
  1.794E+04  4.850E+04  2.995E+04  3.306E+04  4.495E+04  3.947E+04  5.159E+04  4.074E+04  4.139E+04  5.845E+04
  3.605E+04  4.820E+04  3.243E+04  2.940E+04  2.085E+04  2.848E+04  3.716E+04  2.561E+04  3.089E+04  2.694E+04
  4.628E+04  4.968E+04  1.718E+04  4.587E+04  4.585E+04  1.979E+04  5.145E+04  4.517E+04  5.822E+04  3.334E+04
  3.322E+04  4.070E+04  4.797E+04  3.530E+04  4.417E+04  7.809E+04  4.688E+04  4.276E+04  7.980E+04  6.350E+04
  4.741E+04  2.047E+04  7.050E+04  8.638E+04  6.072E+04  3.140E+04  1.615E+04  2.439E+04  3.493E+04  3.827E+04
  5.409E+04  2.286E+04  4.839E+04  3.244E+04  4.612E+04  1.380E+04  4.439E+04  1.413E+04  3.001E+04  5.146E+03
  3.648E+04  3.285E+04  1.689E+04  1.784E+04  3.780E+04  4.456E+04  2.320E+04  4.290E+04  4.871E+04  3.492E+04
  3.188E+04  2.027E+04  3.697E+04  4.801E+04  4.979E+04  5.340E+04  6.404E+04  6.928E+04  4.431E+04  6.730E+04
  6.837E+04  4.930E+04  2.930E+04  5.326E+04  1.125E+05  6.155E+04  7.797E+04  9.385E+04  3.513E+04  5.644E+04
  6.399E+04  9.817E+04  6.362E+04  7.399E+04  7.723E+04  6.986E+04  1.210E+05  9.514E+04  7.675E+04  7.911E+04
  6.111E+04  7.172E+04  5.637E+04  9.148E+04  5.030E+04  6.680E+04  7.423E+04  8.462E+04  1.054E+05  6.231E+04
  4.441E+04  4.069E+04  2.478E+04  6.462E+04  4.584E+04  7.265E+04  6.521E+04  6.642E+04  3.930E+04  5.103E+04
  6.413E+04  6.303E+04  4.021E+04  2.017E+04  3.384E+04  5.011E+04  4.525E+04  6.083E+04  3.503E+04  4.017E+04
  4.872E+04  3.664E+04  3.166E+04  2.800E+04  2.518E+04  2.843E+04  4.166E+04  2.653E+04  2.723E+04  3.208E+04
  3.514E+04  3.392E+04  2.220E+04  2.354E+04  2.392E+04  1.387E+04  2.033E+04  2.516E+04  9.673E+03  1.291E+04
  1.491E+04  8.854E+03  2.816E+04  3.939E+04  3.974E+04  8.872E+03  2.276E+04  3.560E+04  3.550E+04  1.584E+04
  1.609E+04  2.100E+04  3.282E+03  8.573E+03  1.358E+04  1.162E+04  4.832E+03  8.370E+03  2.188E+04  3.257E+04
  2.184E+04  1.934E+04  1.041E+04  4.759E+03  6.772E+03  1.854E+04  4.248E+04  4.713E+04  1.936E+04  1.084E+04
  1.360E+04  1.456E+04  2.763E+04  1.586E+04  1.277E+04  1.384E+04  6.564E+03  7.750E+03  1.551E+04  7.876E+03
  5.241E+03  1.082E+04  2.516E+04  2.116E+04  2.281E+04  2.634E+04  3.034E+04  5.253E+03  8.778E+03  1.686E+04
  2.784E+04  2.375E+03  5.901E+03  6.362E+03  1.528E+04  6.756E+03  1.981E+04  5.261E+03  1.330E+04  6.197E+03
  4.209E+03  7.158E+03  1.101E+04  9.213E+03  1.323E+04  2.507E+02  3.051E+04  1.679E+04  0.000E+00  1.924E+04
  1.614E+04  2.266E+04  1.062E+04  1.553E+04  3.418E+04  9.861E+03  9.660E+03  1.609E+04  1.127E+04  7.062E+03
